opportunity_id,amount,close_date,status
OPP-001,358000,2024-12-20,won
OPP-002,30000,2024-12-09,won
OPP-003,0,2025-01-24,lost
OPP-004,159000,2024-12-25,won
OPP-005,423000,2025-01-24,won
OPP-006,170000,2024-12-15,won
OPP-007,245000,2025-01-09,won
OPP-008,179000,2025-01-24,won
OPP-009,373000,2025-02-04,won
OPP-010,0,2025-01-01,lost
OPP-011,176000,2024-12-30,won
OPP-012,0,2024-12-07,lost
OPP-013,62000,2024-12-23,won
OPP-014,464000,2024-11-30,won
OPP-015,215000,2025-02-04,won
OPP-016,11000,2025-02-07,won
OPP-017,269000,2024-12-26,won
OPP-018,53000,2025-01-01,won
OPP-019,199000,2024-12-06,won
OPP-020,347000,2024-12-20,won
OPP-021,0,2025-01-19,lost
OPP-022,50000,2025-01-28,won
OPP-023,354000,2025-01-05,won
OPP-024,145000,2024-12-10,won
OPP-025,90000,2025-01-21,won
OPP-026,388000,2025-01-13,won
OPP-027,0,2024-12-26,lost
OPP-028,427000,2025-01-14,won
OPP-029,108000,2024-12-23,won
OPP-030,44000,2025-01-22,won
OPP-031,266000,2025-01-22,won
OPP-032,402000,2024-12-31,won
OPP-033,389000,2025-01-10,won
OPP-034,0,2024-12-17,lost
OPP-035,0,2024-12-24,lost
OPP-036,38000,2024-12-29,won
OPP-037,252000,2024-11-29,won
OPP-038,54000,2025-01-14,won
OPP-039,37000,2025-01-03,won
OPP-040,0,2025-01-15,lost
OPP-041,240000,2024-12-04,won
OPP-042,292000,2025-02-01,won
OPP-043,242000,2024-12-24,won
OPP-044,146000,2024-12-23,won
OPP-045,243000,2024-12-18,won
OPP-046,383000,2025-01-02,won
OPP-047,189000,2025-01-15,won
OPP-048,0,2025-01-14,lost
OPP-049,396000,2025-01-23,won
OPP-050,196000,2024-12-10,won
